SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,17.40821611883203
HB_BUSAVG,2017,14.4197635130185
HB_BUSAVG,2018,18.739567500135692
HB_BUSAVG,2019,23.336489412559374
HB_HOUSTON,2016,17.907287590765048
HB_HOUSTON,2017,15.953073068289353
HB_HOUSTON,2018,18.738563377779663
HB_HOUSTON,2019,23.202506902389437
HB_HUBAVG,2016,17.61284161245434
HB_HUBAVG,2017,14.849730688534663
HB_HUBAVG,2018,18.914252550250033
HB_HUBAVG,2019,23.455350993381916
HB_NORTH,2016,17.259001390545937
HB_NORTH,2017,14.277813119102738
HB_NORTH,2018,18.73063828144386
HB_NORTH,2019,23.35900855059965
HB_SOUTH,2016,19.535388950649597
HB_SOUTH,2017,14.611838696054793
HB_SOUTH,2018,18.592611724683795
HB_SOUTH,2019,23.299287698274092
HB_WEST,2016,19.398564819394636
HB_WEST,2017,22.98765474461525
HB_WEST,2018,27.28809557629361
HB_WEST,2019,30.604443225710675
HB_PAN,2016,
HB_PAN,2017,
HB_PAN,2018,
HB_PAN,2019,46.93089906646735
